Row ID,MK-Molecule ChEMBL ID,MK-Compound Key,MK-Standard Type,MK-Standard Relation,MK-Standard Value,MK-Standard Units,MK-Document ChEMBL ID,MK-Canonical SMILES,fp2_fp
Row0,CHEMBL1090103,16a,IP,=,150,nM,CHEMBL1156154,O=C([O-])c1cn(Cc2ccc(-c3ccccc3)cc2)c2ccsc2c1=O,0000000000011000010000011000000000000000000000001001000000000001100010010000000000110000000000000000000000001001000000010001000000010001000000000001000000000100000000000000000001000000000010000000100000000000000000000001000011000000000000000101000000000000000110000000000000000101010000001000000010000000000000001000011000001111101010001011000000001101000000000000000000000000000000011000000000000000010000000000010000000000000000000000001000011000000100001000000100000000001000101000000000000000001000000000010000011000000000000001100000000000000000000100010000001000000010000000000010000000000000110000000000001010000010001000000000000000100000001000000011100000000000010001000000101001000000000000000000000011100010000000000000000001100000000100000000000100001000000000000000000100000000000000000000000000000000000000000000000000000000010000110110000000000000000010000000000100000111000000000000000100001100000100000000000000000001000100000100000000000000000000000000101100100000001100011000101000000000100110000000000000
Row1,CHEMBL1090103,16a,IP,=,150,nM,CHEMBL1156154,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2ccsc2c1=O,0000000000011000010000011000000000000000000000001001000000000001100010010000000000110000000000000000000000001001000000010001000000010001000000000001000000000100000000000000000001000000000010000000100000000000000000000001000011000000000000000101000000000000000110000000000000000101010000001000000010000000000000001000011000001111101010001011000000001101000000000000000000000000000000011000000000000000010000000000010000000000000000000000001000011000000100001000000100000000001000101000000000000000001000000000010000011000000000000001100000000000000000000100010000001000000010000000000010000000000000110000000000001010000010001000000000000000100000001000000011100000000000010001000000101001000000000000000000000011100010000000000000000001100000000100000000000100001000000000000000000100000000000000000000000000000000000000000000000000000000010000110110000000000000000010000000000100000111000000000000000100001100000100000000000000000001000100000100000000000000000000000000101100100000001100011000101000000000100110000000000000
Row2,CHEMBL1090104,17,IP,=,370,nM,CHEMBL1156154,O=C([O-])c1cn(Cc2ccc(-c3ccccc3)cc2)c2sccc2c1=O,0000000000011000010000011000000000000000000000000001000000000001100010010000000000111000000000000000000000000001000010011001000000010001000000000001000100000100000000000000000000000000000010010000000000000000000000000001100010000000000000000001000000000000000110000000000000000101011000001000000011000000000000001000011000000111101010001011000000001101100000000000000000000000000000011000010000000000000000000000010010000100000000000000011000011000000110000000000100000000001000001000000000000000011000000000000000011000000100000001100000000000000000011000001000100000000000000000000000000000000000111000000000000010000010001000000000000000100000001000000011100000000001010001000000100000000000000000000000000001100011000010000000000000100000000100000000000101001000000000100000000100100000000000000000000000000000000000000000000000000000010000000110000000000000000010000000000100000111000000000000000100001100000100000000000000000010000100000100000000000000000000000000101100100001001110011000100000000000100110000000000000
Row3,CHEMBL1090104,17,IP,=,370,nM,CHEMBL1156154,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2sccc2c1=O,0000000000011000010000011000000000000000000000000001000000000001100010010000000000111000000000000000000000000001000010011001000000010001000000000001000100000100000000000000000000000000000010010000000000000000000000000001100010000000000000000001000000000000000110000000000000000101011000001000000011000000000000001000011000000111101010001011000000001101100000000000000000000000000000011000010000000000000000000000010010000100000000000000011000011000000110000000000100000000001000001000000000000000011000000000000000011000000100000001100000000000000000011000001000100000000000000000000000000000000000111000000000000010000010001000000000000000100000001000000011100000000001010001000000100000000000000000000000000001100011000010000000000000100000000100000000000101001000000000100000000100100000000000000000000000000000000000000000000000000000010000000110000000000000000010000000000100000111000000000000000100001100000100000000000000000010000100000100000000000000000000000000101100100001001110011000100000000000100110000000000000
Row4,CHEMBL1090214,10u,Activity,=,320,nM,CHEMBL1156223,COc1ccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4c3CCC[C@@H]4O)cc2)cn1,0000000000011000000000000001001100000000000000000001000000000001101010010000000000110000101100000011000000100001000000010001000000000001100000100001000000000100000000110010000000100000000010000100000000100000000010000000000111000000000000000001000000000000000111000001000000000101010000001000000000000001000000001100011000000101001010001001100000001100000000000101000000100100000000011110000000000000011000000000010100001000000100100000101100010000000100000000000100000000001100001000000000100000001000000000010000011000000000000001110000101000110000001100000001100000010000100000000000001000000000110000000000100110100010001000000000000000100000000000100011000000100000010001000000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000101000000000000000000000000000000100001000001010100000010010100000110000000000100000010001001010100000110000000000010001100001100000101000010000101001010000100010100000100000000100000110000101111100000001100000000101000000000100000000000000000
Row5,CHEMBL1090214,10u,Activity,=,320,nM,CHEMBL1156223,COc1ccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCC[C@@H]4O)cc2)cn1,0000000000011000000000000001001100000000000000000001000000000001101010010000000000110000101100000011000000100001000000010001000000000001100000100001000000000100000000110010000000100000000010000100000000100000000010000000000111000000000000000001000000000000000111000001000000000101010000001000000000000001000000001100011000000101001010001001100000001100000000000101000000100100000000011110000000000000011000000000010100001000000100100000101100010000000100000000000100000000001100001000000000100000001000000000010000011000000000000001110000101000110000001100000001100000010000100000000000001000000000110000000000100110100010001000000000000000100000000000100011000000100000010001000000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000101000000000000000000000000000000100001000001010100000010010100000110000000000100000010001001010100000110000000000010001100001100000101000010000101001010000100010100000100000000100000110000101111100000001100000000101000000000100000000000000000
Row6,CHEMBL1091548,16n,IP,=,340,nM,CHEMBL1156154,Cn1cc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4sccc43)nc2)cn1,0000001000011001010000011000000000000010000000001001000000000001110010010010000000110000000000000001000000001000000000010001000000010001000000000001000000000100000000010010000001000000000010000000100000000000000000000001000011000000000000000101010010000000000110001000000000000101011000001000000010001000000000001000001100001111101010001111000000001101000000000000000000000000000000011010000000000100011000100000010000000000000000000000101100011100000100001000000100000001001000101000000110000000001000000000010000011000000000000001100000100000110000000100010000101000000010000000000010000000000000110000100000001010000010001000000000000000100000001000000011100000000000010001000000101001010000000000000000000111100000000000000000000001100000000100000000000100001000000100000000000100000000000000000000000000000000000000000000000000000011010000110110000000000100000010001000000100000111000100001000000100001100000100000000000100000001101100000100000000000000100000100000101100100000001100011100111000000000000110000000000000
Row7,CHEMBL1091548,16n,IP,=,340,nM,CHEMBL1156154,Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)nc2)cn1,0000001000011001010000011000000000000010000000001001000000000001110010010010000000110000000000000001000000001000000000010001000000010001000000000001000000000100000000010010000001000000000010000000100000000000000000000001000011000000000000000101010010000000000110001000000000000101011000001000000010001000000000001000001100001111101010001111000000001101000000000000000000000000000000011010000000000100011000100000010000000000000000000000101100011100000100001000000100000001001000101000000110000000001000000000010000011000000000000001100000100000110000000100010000101000000010000000000010000000000000110000100000001010000010001000000000000000100000001000000011100000000000010001000000101001010000000000000000000111100000000000000000000001100000000100000000000100001000000100000000000100000000000000000000000000000000000000000000000000000011010000110110000000000100000010001000000100000111000100001000000100001100000100000000000100000001101100000100000000000000100000100000101100100000001100011100111000000000000110000000000000
Row8,CHEMBL1091642,10e,Activity,=,440,nM,CHEMBL1156223,O=C([O-])c1cn(Cc2ccc(-c3ccccc3)cc2)c2c(c1=O)[C@@H](O)CCC2,0000000000011000000000000000001100000000000000000001000000000001101010010000000000110000101100000011000000000001000000010001000000000001100000000001000000000100000000110000000000000000000010000100000000100000000000000000000110000000000000000001000000000000000111000001000000000101010000001000000000000001000000001100011000000101001010001001000000001100000000000101000000000100000000011100000000000000010000000000010100001000000100100000101100010000000100000000000100000000001100001000000000100000001000000000000000011000000000000001100000101000000000001000000001100000000000000000000000001000000000110000000000000010100010001000000000000000100000000000100011000000100000010001000000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001000100000000010000000110000000000000000010001001010100000110000000000000001100001100000101000010000101001000000100010100000100000000000000000000101111100000001100000000101000000000100000000000000000
Row9,CHEMBL1091642,10e,Activity,=,440,nM,CHEMBL1156223,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2c(c1=O)[C@@H](O)CCC2,0000000000011000000000000000001100000000000000000001000000000001101010010000000000110000101100000011000000000001000000010001000000000001100000000001000000000100000000110000000000000000000010000100000000100000000000000000000110000000000000000001000000000000000111000001000000000101010000001000000000000001000000001100011000000101001010001001000000001100000000000101000000000100000000011100000000000000010000000000010100001000000100100000101100010000000100000000000100000000001100001000000000100000001000000000000000011000000000000001100000101000000000001000000001100000000000000000000000001000000000110000000000000010100010001000000000000000100000000000100011000000100000010001000000000000100001000000101010000101101010000000100000000100100000000100100000000101001000001100100001000100000000000000000000000000000000100000000001000100000000010000000110000000000000000010001001010100000110000000000000001100001100000101000010000101001000000100010100000100000000000000000000101111100000001100000000101000000000100000000000000000
