Row ID,MK-Molecule ChEMBL ID,MK-Compound Key,MK-Standard Type,MK-Standard Relation,MK-Standard Value,MK-Standard Units,MK-Document ChEMBL ID,MK-Canonical SMILES
Row0,CHEMBL1090103,16a,IP,=,150,nM,CHEMBL1156154,O=C([O-])c1cn(Cc2ccc(-c3ccccc3)cc2)c2ccsc2c1=O
Row1,CHEMBL1090103,16a,IP,=,150,nM,CHEMBL1156154,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2ccsc2c1=O
Row2,CHEMBL1090104,17,IP,=,370,nM,CHEMBL1156154,O=C([O-])c1cn(Cc2ccc(-c3ccccc3)cc2)c2sccc2c1=O
Row3,CHEMBL1090104,17,IP,=,370,nM,CHEMBL1156154,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2sccc2c1=O
Row4,CHEMBL1090214,10u,Activity,=,320,nM,CHEMBL1156223,COc1ccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4c3CCC[C@@H]4O)cc2)cn1
Row5,CHEMBL1090214,10u,Activity,=,320,nM,CHEMBL1156223,COc1ccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCC[C@@H]4O)cc2)cn1
Row6,CHEMBL1091548,16n,IP,=,340,nM,CHEMBL1156154,Cn1cc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4sccc43)nc2)cn1
Row7,CHEMBL1091548,16n,IP,=,340,nM,CHEMBL1156154,Cn1cc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4sccc43)nc2)cn1
Row8,CHEMBL1091642,10e,Activity,=,440,nM,CHEMBL1156223,O=C([O-])c1cn(Cc2ccc(-c3ccccc3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row9,CHEMBL1091642,10e,Activity,=,440,nM,CHEMBL1156223,O=C(O)c1cn(Cc2ccc(-c3ccccc3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row10,CHEMBL1091645,10k,Activity,=,410,nM,CHEMBL1156223,COc1cccc(-c2ccc(Cn3cc(C(=O)[O-])c(=O)c4c3CCC[C@@H]4O)cc2)c1
Row11,CHEMBL1091645,10k,Activity,=,410,nM,CHEMBL1156223,COc1cccc(-c2ccc(Cn3cc(C(=O)O)c(=O)c4c3CCC[C@@H]4O)cc2)c1
Row12,CHEMBL1091648,10n,Activity,=,340,nM,CHEMBL1156223,O=C([O-])c1cn(Cc2ccc(-c3cccc(Cl)c3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row13,CHEMBL1091648,10n,Activity,=,340,nM,CHEMBL1156223,O=C(O)c1cn(Cc2ccc(-c3cccc(Cl)c3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row14,CHEMBL1091960,10o,Activity,=,340,nM,CHEMBL1156223,O=C([O-])c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row15,CHEMBL1091960,10o,Activity,=,340,nM,CHEMBL1156223,O=C(O)c1cn(Cc2ccc(-c3ccc(Cl)cc3)cc2)c2c(c1=O)[C@@H](O)CCC2
Row16,CHEMBL1091968,16e,IP,=,240,nM,CHEMBL1156154,O=C([O-])c1cn(Cc2ccc(-n3ccnc3)cc2)c2ccsc2c1=O
Row17,CHEMBL1091968,16e,IP,=,240,nM,CHEMBL1156154,O=C(O)c1cn(Cc2ccc(-n3ccnc3)cc2)c2ccsc2c1=O
